Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
Oak Street Weather Station,12/30/2016 07:00:00 AM,-2.2,-4.1,64,0,0,135.1,0,284,1.7,3.1,995.7,3,0,12,12/30/2016 7:00 AM,OakStreetWeatherStation201612300700
63rd Street Weather Station,12/30/2016 06:00:00 AM,-2.5,-4.1,69,0,0,39.3,0,290,4.5,8.1,995.1,5,354,11.8,12/30/2016 6:00 AM,63rdStreetWeatherStation201612300600
Foster Weather Station,12/30/2016 06:00:00 AM,-3.17,,61,,0,,,278,2.3,2.8,994.2,0,,14.8,12/30/2016 6:00 AM,FosterWeatherStation201612300600
Oak Street Weather Station,12/30/2016 06:00:00 AM,-2,-3.8,65,0,0,135.1,0,268,1.3,2.7,995.3,2,0,12,12/30/2016 6:00 AM,OakStreetWeatherStation201612300600
63rd Street Weather Station,12/30/2016 05:00:00 AM,-1.9,-3.8,63,0,0,39.3,0,290,4,7.3,994.3,5,353,11.9,12/30/2016 5:00 AM,63rdStreetWeatherStation201612300500
Foster Weather Station,12/30/2016 05:00:00 AM,-2.56,,52,,0,,,288,3.3,3.5,993.6,0,,15.2,12/30/2016 5:00 AM,FosterWeatherStation201612300500
Oak Street Weather Station,12/30/2016 05:00:00 AM,-1.5,-3.8,57,0,0,135.1,0,304,1.6,3.4,994.7,2,0,12.1,12/30/2016 5:00 AM,OakStreetWeatherStation201612300500
63rd Street Weather Station,12/30/2016 04:00:00 AM,-1.1,-3.4,58,0,0,39.3,0,316,3.6,5.8,993.9,5,353,11.8,12/30/2016 4:00 AM,63rdStreetWeatherStation201612300400
Foster Weather Station,12/30/2016 04:00:00 AM,-2,,50,,0,,,289,4.5,4.8,993.2,0,,15.2,12/30/2016 4:00 AM,FosterWeatherStation201612300400
Oak Street Weather Station,12/30/2016 04:00:00 AM,-0.8,-3.4,54,0,0,135.1,0,326,1.4,3.6,994.3,2,0,12,12/30/2016 4:00 AM,OakStreetWeatherStation201612300400
63rd Street Weather Station,12/30/2016 03:00:00 AM,-0.4,-3.1,54,0,0,39.3,0,299,5.3,11.4,993.1,4,353,11.9,12/30/2016 3:00 AM,63rdStreetWeatherStation201612300300
Foster Weather Station,12/30/2016 03:00:00 AM,-1.28,,49,,0,,,302,4.1,4.8,992.9,0,,14.8,12/30/2016 3:00 AM,FosterWeatherStation201612300300
Oak Street Weather Station,12/30/2016 03:00:00 AM,-0.1,-2.9,52,0,0,135.1,0,345,2.2,4.8,993.8,2,0,12,12/30/2016 3:00 AM,OakStreetWeatherStation201612300300
63rd Street Weather Station,12/30/2016 02:00:00 AM,-0.2,-2.9,53,0,0,39.3,0,320,4.5,8.1,992.9,4,354,11.9,12/30/2016 2:00 AM,63rdStreetWeatherStation201612300200
Foster Weather Station,12/30/2016 02:00:00 AM,-1.06,,51,,0,,,292,3,3.7,992.6,0,,15.2,12/30/2016 2:00 AM,FosterWeatherStation201612300200
Oak Street Weather Station,12/30/2016 02:00:00 AM,0.1,-2.6,54,0,0,135.1,0,334,2.4,4,993.5,2,1,12.1,12/30/2016 2:00 AM,OakStreetWeatherStation201612300200
63rd Street Weather Station,12/30/2016 01:00:00 AM,0.3,-2.4,55,0,0,39.3,0,320,4.5,9.4,992.2,4,354,11.9,12/30/2016 1:00 AM,63rdStreetWeatherStation201612300100
Foster Weather Station,12/30/2016 01:00:00 AM,-0.39,,45,,0,,,274,7.4,8.2,991.2,0,,15.2,12/30/2016 1:00 AM,FosterWeatherStation201612300100
Oak Street Weather Station,12/30/2016 01:00:00 AM,0.7,-2.5,48,0,0,135.1,0,337,3.6,5.1,992.4,2,1,12.1,12/30/2016 1:00 AM,OakStreetWeatherStation201612300100
63rd Street Weather Station,12/30/2016 12:00:00 AM,0.6,-1.7,62,0,0,39.3,0,285,5.3,9.7,991.6,4,354,11.8,12/30/2016 12:00 AM,63rdStreetWeatherStation201612302400
Foster Weather Station,12/30/2016 12:00:00 AM,0.06,,50,,0,,,242,6.5,7.2,990.9,0,,15.2,12/30/2016 12:00 AM,FosterWeatherStation201612302400
Oak Street Weather Station,12/30/2016 12:00:00 AM,0.8,-1.6,60,0,0,135.1,60,341,1.8,3.2,992.2,2,0,12.1,12/30/2016 12:00 AM,OakStreetWeatherStation201612302400
